thread,neg,seg,comb,speaker,text
19,o,s,s-o,f,uh-huh 
19,o,s,s-o,g,right 
19,A2,s,s-A2,g,turn to your left at vast meadow 
19,A1,s,s-A1,f,right 
20,K1,n,n-K1,g,and then when it comes to crane bay you're keeping quite close to the coast 
20,ch,s,s-ch,f,no 
20,o,s,s-o,g,no 
21,K2,n,n-K2,g,you're not anywhere near that 
21,K1,s,s-K1,f,nowhere near the coast 
22,A2,n,n-A2,g,well you should be 
22,A1,s,s-A1,f,right so 
23,o,n,n-o,g,ehm 
24,A1,n,n-A1,f,i'll just go down here then 
25,A2,n,n-A2,g,retrack to vast meadow and attractive cliffs you should be in where it says vast meadow and the the picture of the attractive cliffs 
25,A1,s,s-A1,f,oh right 
25,o,s,s-o,g,mucked this up completely have i 
26,K1,n,n-K1,f,we've probably got different maps right 
27,A2,n,n-A2,g,ehm right and you're turning left up there 
27,o,s,s-o,f,turning left 
28,A2,n,n-A2,g,uh-huh towards the coast 
28,A1,s,s-A1,f,right 
29,K1,n,n-K1,g,it's not really towards the coast it's sort what would it be northeastwards no it wouldn't be northeastwards if you were coming that way it would be northwestwards 
29,o,s,s-o,f,right 
30,A2,n,n-A2,g,ehm along above where it says crane bay you keep quite close to the coast and above the e"" of crane bay you're making a ninety degree turn to your left again ""
30,A1,s,s-A1,f,right 
31,A2,n,n-A2,g,towards the reclaimed fields 
31,A1,s,s-A1,f,right 
32,A2,n,n-A2,g,and you've got to skirt round them ehm taking a right turn 
32,A1,s,s-A1,f,mmhmm 
33,A2,n,n-A2,g,go right round ehm until you get to just above them 
33,A1,s,s-A1,f,mmhmm 
34,A2,n,n-A2,g,towards the chapel 
35,o,n,n-o,g,and then you've got to go 
34,o,o,o-o,f,towards what 
34,o,s,s-o,g,the chapel 
36,K2,n,n-K2,g,you do have a chapel 
36,K1,s,s-K1,f,no 
36,o,s,s-o,g,oh 
37,K1,n,n-K1,f,i could draw one in 
38,K2,n,n-K2,g,do you have seven beeches 
38,K1,s,s-K1,f,i do 
38,o,s,s-o,g,right 
39,A2,n,n-A2,g,head up towards seven beeches then 
39,A1,s,s-A1,f,mmhmm 
40,o,n,n-o,g,and from seven beeches 
40,o,s,s-o,g,right 
40,K1,s,s-K1,g,i'll start in the right place this time suppose that's one point in my favour that i said start at the chestnut tree 
40,o,s,s-o,f,mm 
41,K1,n,n-K1,g,that's just a habit of mine to start at the bottom of a map and work my way up 
41,o,s,s-o,g,sorry 
41,o,s,s-o,f,right 
41,o,s,s-o,g,okay 
42,o,n,n-o,g,okay 
42,K1,s,s-K1,f,bit young for a missus 
42,o,s,s-o,g,yes 
43,K1,n,n-K1,g,right this is lindsey and melanie number n"" ""a"" ""q"" three ""c"" two plus minus four ""d"" ""u"" ""
44,A2,n,n-A2,g,right if you'd like to start at the beginning 
44,o,s,s-o,f,at at the start 
44,o,s,s-o,g,at the start which is above the haystack 
44,A1,s,s-A1,f,okay 
44,o,s,s-o,g,right 
44,o,s,s-o,f,right 
45,o,n,n-o,g,ehm if you you're heading southwards 
45,o,s,s-o,f,mmhmm 
45,A2,s,s-A2,g,ehm more straight slight bend towards the hi-- the haystack 
46,A2,n,n-A2,g,ehm come down to about level with the carpenter's house and then you want to head along towards the carpenter's house 
46,A1,s,s-A1,f,mmhmm 
47,A2,n,n-A2,g,ehm head up ehm what what sort angle sort northeastwards towards green bay and stick fairly well 
48,K2,n,n-K2,f,wait a minute towards where 
48,K1,s,s-K1,g,green bay at the top 
48,o,s,s-o,f,green bay 
48,o,s,s-o,g,uh-huh 
48,ch,s,s-ch,f,ehm no green bay 
48,o,s,s-o,g,no green bay 
49,K1,n,n-K1,g,ehm there should be an inshot at the top th-- that would look like water 
49,o,s,s-o,f,nope 
49,o,s,s-o,g,no 
50,A2,n,n-A2,g,anyway head up for about two and a half inches from the carpenter's house 
50,A1,s,s-A1,f,right 
50,o,s,s-o,g,right ehm 
51,K2,n,n-K2,f,upwards 
51,K1,s,s-K1,g,yes 
51,o,s,s-o,f,okay 
52,A2,n,n-A2,g,and in a more straight line sloping slightly down the way head along for about another two inches then slope down towards seven beeches 
52,A1,s,s-A1,f,mmhmm 
53,A2,n,n-A2,g,ehm curve round slightly to your right 
53,o,s,s-o,f,to my right 
53,o,s,s-o,g,yes 
54,K2,n,n-K2,f,as i look at it 
54,K1,s,s-K1,g,yes 
55,K1,n,n-K1,g,because you're going round the chapel you should be heading down towards the reclaimed fields where we got to the last time 
55,o,s,s-o,f,right 
56,A2,n,n-A2,g,ehm you want to go you want to circle the reclaimed fields right round to your right you want to go round the right of them as you look at it 
56,A1,s,s-A1,f,right 
57,A2,n,n-A2,g,and come along for oh about two inches again and then head down straight down southwards towards the bay 
57,A1,s,s-A1,f,mmhmm 
58,A2,n,n-A2,g,and stick fairly close to the coast for about an inch and a half 
58,A1,s,s-A1,f,okay 
59,A2,n,n-A2,f,wait a minute 
59,A1,s,s-A1,g,uh-uh 
60,K2,n,n-K2,g,have i lost you 
61,o,n,n-o,f,right 
61,A2,s,s-A2,f,take me from reclaimed fields again 
62,K2,n,n-K2,g,right have you circled them not quite circled them come round to the right of them 
62,K1,s,s-K1,f,come round to the right of them 
62,o,s,s-o,g,uh-huh 
63,A2,n,n-A2,g,right round underneath wh-- to where it says reclaimed fields 
63,A1,s,s-A1,f,okay 
64,A2,n,n-A2,g,right for about an inch and a half 
64,A1,s,s-A1,f,right 
64,o,s,s-o,g,right 
64,o,s,s-o,f,okay 
65,A2,n,n-A2,g,and straight down towards the bay 
65,A1,s,s-A1,f,right 
66,A2,n,n-A2,g,and you keep fairly close to the coast for about an inch and a half of that then head 
67,K1,n,n-K1,g,i sound as if i'm making an awful lot of mistakes here 
68,K1,n,n-K1,f,no it's my old one i'm s-- scribbling out 
69,A2,n,n-A2,g,ehm head down at a southwesterly angle towards vast meadow and the attractive cliffs 
69,A1,s,s-A1,f,yes 
70,o,n,n-o,g,right 
70,A2,s,s-A2,g,you should be in them you head down in a straight line between vast meadow and attractive cliffs 
71,K2,n,n-K2,f,a straight line between them 
71,K1,s,s-K1,g,uh-huh 
72,A2,n,n-A2,g,until about the a"" of vast meadow ""
72,o,s,s-o,f,what 
72,A1,s,s-A1,f,okay 
73,o,n,n-o,g,right 
73,A2,s,s-A2,g,and again the same sort southwesterly angle down to where it says attractive cliffs 
73,A1,s,s-A1,f,okay 
74,o,n,n-o,g,right 
74,A2,s,s-A2,g,and then a much more westerly angle for about an inch and then following the side of the map down and then curve round eastwards towards the finish 
75,K2,n,n-K2,f,what finish 
75,o,s,s-o,g,at the ch-- 
75,K1,s,s-K1,g,at the chestnut tree 
75,o,s,s-o,f,right 
76,K1,n,n-K1,g,well i hope that's better than the last one was 
76,o,s,s-o,f,okay 
76,o,s,s-o,g,right 
76,o,s,s-o,f,there 
77,K1,n,n-K1,g,see if that one's any it's probably 
