thread,neg,seg,comb,speaker,text
23,A2,n,n-A2,g,if erm come above that over towards the left-hand side 
23,A1,s,s-A1,f,right 
23,o,s,s-o,f,yeah 
24,A2,n,n-A2,g,round down towards the top of the west lake 
24,ch,s,s-ch,f,i don't have a west lake 
25,K2,n,n-K2,g,you don't have a west lake at all 
25,K1,s,s-K1,f,no 
26,K1,n,n-K1,f,i've got i've got an east lake but i haven't got a west lake 
26,o,s,s-o,g,oh 
27,K2,n,n-K2,f,have you got a stile 
27,K1,s,s-K1,g,i've got a stile yes 
28,K2,n,n-K2,f,is it anywhere near that 
28,K1,s,s-K1,g,it's j-- it's directly below that 
28,o,s,s-o,f,uh-huh 
29,A2,n,n-A2,g,erm if you come d-- just loop down below the stile and round to the left-hand side 
29,A1,s,s-A1,f,right 
30,A2,n,n-A2,g,then come up across it to the far side of the the drawing of the stile or the stile erm head upwards erm on the map it's maybe about an inch 
30,A1,s,s-A1,f,yeah 
30,o,s,s-o,g,if i'm allowed to use that 
31,A2,n,n-A2,g,erm and then head diagonally down towards the bottom of the dead tree 
31,ch,s,s-ch,f,i have don't have a dead tree i have a dutch elm 
32,K2,n,n-K2,g,erm it whereabouts is that is that on 
32,K1,s,s-K1,f,it's r-- far eh way over on the right-hand side about just up from the middle of the map 
33,K1,n,n-K1,g,right okay well that i well i assume that's the same thing 
34,K2,n,n-K2,f,is it about right 
35,K2,n,n-K2,f,have you got a popular tourist spot 
35,K1,s,s-K1,g,erm no i haven't 
36,K1,n,n-K1,f,'cause at the moment if i head diagonally i i bump into the popular tourist spot 
37,o,n,n-o,g,i've got 
37,o,s,s-o,g,oh 
37,K1,s,s-K1,g,i've got a great viewpoint eh above the tree eh just below the east lake 
38,o,n,n-o,f,oh no 
38,K1,s,s-K1,f,i've got a rocket launch just just below the east lake 
39,o,n,n-o,g,erm well 
40,K2,n,n-K2,f,are we heading towards the dutch elm then 
40,K1,s,s-K1,g,i would say so yes 
40,o,s,s-o,f,yeah okay right i suppose that 
41,A2,n,n-A2,g,and head down below that 
41,A1,s,s-A1,f,right okay right 
42,A2,n,n-A2,g,now loop round that on the right-hand side 
42,A1,s,s-A1,f,yeah got it 
43,A2,n,n-A2,g,and come over gradually to the far to the left-hand side of the tree 
43,A1,s,s-A1,f,yeah 
44,A2,n,n-A2,g,sloping slightly upwards 
44,A1,s,s-A1,f,yeah got it 
45,A2,n,n-A2,g,and then come round 
46,K1,n,n-K1,g,well i've got a great viewpoint here just below the east lake 
47,K1,n,n-K1,f,oh i've got a great viewpoint right in the top left-hand corner 
48,K1,n,n-K1,g,i've got that as well 
48,o,s,s-o,f,ah okay 
49,o,n,n-o,g,so like 
49,K2,s,s-K2,g,erm what have you got underneath the east lake 
49,K1,s,s-K1,f,rocket launch 
50,K1,n,n-K1,g,well i think we'll need to ass-- assume that's 
50,o,s,s-o,f,yeah 
50,o,s,s-o,g,to be avoided anyway 
51,A2,n,n-A2,g,so if you come round to the right-hand side of that and head upwards towards the east lake 
51,A1,s,s-A1,f,yeah 
52,K2,n,n-K2,f,so i just come round on top of the dutch elm 
52,K1,s,s-K1,g,right 
52,K1,s,s-K1,g,you're above the e-- the elm 
53,K2,n,n-K2,f,on the left-hand side 
54,A2,n,n-A2,g,on the left-hand side if you head directly upwards towards the east lake on the right-hand side 
54,A1,s,s-A1,f,okay 
55,K1,n,n-K1,g,oh oh it's on the right-hand side of my great viewpoint 
55,o,s,s-o,f,okay yeah 
56,o,n,n-o,g,right eh 
56,A2,s,s-A2,g,go almost to the edge of the lake 
56,A1,s,s-A1,f,yeah 
57,A2,n,n-A2,g,and then head eh left 
57,A1,s,s-A1,f,right 
58,K2,n,n-K2,f,so i'm i'm i'm g-- like on the bank on the bank of the east lake 
58,o,s,s-o,g,uh 
58,K1,s,s-K1,g,yeah 
58,K1,s,s-K1,g,maybe slight-- just slightly back from it but above what i've got as a great viewpoint 
58,o,s,s-o,f,okay 
58,o,s,s-o,f,yeah 
59,K1,n,n-K1,g,and that's my the finish 
59,o,s,s-o,f,that's it 
59,o,s,s-o,g,yep yep 
60,o,n,n-o,f,right 
60,K2,s,s-K2,f,so what-- what would we end just underneath the east lake do we 
60,o,s,s-o,f,right 
