thread,neg,seg,comb,speaker,text
45,A2,n,n-A2,f,okay go 
45,A1,s,s-A1,g,right 
46,K1,n,n-K1,f,dead tree murgey 
47,A2,n,n-A2,g,go ehm right 
47,A2,s,s-A2,g,from the dead tree go down a few centimetres 
47,A1,s,s-A1,f,uh-huh 
47,o,s,s-o,g,right 
47,o,s,s-o,f,yeah 
48,K2,n,n-K2,g,have you gone down a wee bit yeah 
48,K1,s,s-K1,f,yeah 
49,o,n,n-o,g,right now 
49,o,s,s-o,g,is you know how the forked stream divided 
49,o,s,s-o,f,mmhmm 
49,o,s,s-o,g,see at the bottom of the left-hand of the division 
49,K2,s,s-K2,g,is there a lagoon 
49,K1,s,s-K1,f,mm yeah 
50,o,n,n-o,g,right uh 
50,o,s,s-o,g,you know where you stopped 
50,o,s,s-o,f,mmhmm 
50,A2,s,s-A2,g,take it along to the lagoon 
50,A1,s,s-A1,f,right to the lagoon 
50,o,s,s-o,g,uh-huh 
50,o,s,s-o,f,mmhmm 
51,o,n,n-o,g,right 
51,A2,s,s-A2,g,stop there 
51,o,s,s-o,g,now 
52,A2,n,n-A2,g,go down the lagoon next to the lagoon mark it next to the lagoon 
52,A1,s,s-A1,f,i go right down to the lagoon 
52,o,s,s-o,g,uh-huh 
53,A2,n,n-A2,g,and stop at the bottom of the lagoon 
53,A1,s,s-A1,f,mmhmm 
53,o,s,s-o,g,right 
54,K2,n,n-K2,g,right you got it 
54,K1,s,s-K1,f,yeah 
55,o,n,n-o,g,right 
55,K2,s,s-K2,g,now see further down from the lagoon is there rock fall 
55,K2,s,s-K2,g,and green bay 
55,o,s,s-o,f,mm 
55,K1,s,s-K1,f,there's green bay yeah 
55,o,s,s-o,g,right 
56,K2,n,n-K2,g,there's a pirate ship isn't there 
56,K1,s,s-K1,f,yeah 
56,o,s,s-o,g,right 
57,K2,n,n-K2,g,have you got just above green bay is there rock fall 
57,K1,s,s-K1,f,no rock fall 
58,K1,n,n-K1,f,there's a computer controlled sub 
58,o,s,s-o,g,right right 
59,A2,n,n-A2,g,from the bottom of the lagoon take your marker round that sub 
59,A1,s,s-A1,f,around it 
59,o,s,s-o,g,uh-huh 
59,o,s,s-o,f,right down to it around it 
59,o,s,s-o,g,uh-huh 
59,o,s,s-o,g,above it you know round it 
59,o,s,s-o,f,above it yeah 
60,o,n,n-o,g,right okay 
60,o,s,s-o,g,and ehm now 
60,o,s,s-o,g,eh 
60,o,s,s-o,g,green bay 
60,o,s,s-o,f,angie yeah green bay 
60,o,s,s-o,g,there's a kind ehm 
60,o,s,s-o,g,er 
60,A2,s,s-A2,g,right take it round round there 
60,o,s,s-o,g,righ-- 
61,o,n,n-o,g,there's a kind eh tip made at green bay 
61,K2,s,s-K2,g,you know where the sub is 
61,K1,s,s-K1,f,mmhmm 
61,K1,s,s-K1,f,right that right down to the left 
61,o,s,s-o,g,uh-huh yeah yeah 
62,o,n,n-o,f,how about it 
63,A2,n,n-A2,g,take it through there 
63,A1,s,s-A1,f,uh-huh 
64,o,n,n-o,g,right 
64,A2,s,s-A2,g,stop there 
65,o,n,n-o,g,now 
65,o,s,s-o,g,take it to the pi-- 
66,K2,n,n-K2,g,is there a pirate ship there 
66,K1,s,s-K1,f,yeah 
65,o,o,o-o,g,right well 
65,A2,s,s-A2,g,take it down a bit 
65,A1,s,s-A1,f,down a bit 
65,o,s,s-o,g,from that tip 
65,o,s,s-o,g,right 
65,o,s,s-o,f,mmhmm 
67,A2,n,n-A2,g,down a few centimetres and take it down to the right towards the pirate ship and that's where you finish 
67,A1,s,s-A1,f,okay 
67,o,s,s-o,f,fine 
67,o,s,s-o,g,got it 
