thread,neg,seg,comb,speaker,text
41,K1,s,s-K1,g,no 
41,o,s,s-o,f,no 
42,K2,n,n-K2,f,do you have hills to your the left of the dead tree just up a bit 
42,K1,s,s-K1,g,yes 
42,o,s,s-o,f,okay 
43,K2,n,n-K2,f,so how close do you want that c"" to take me towards the hills ""
43,K1,s,s-K1,g,not close at all 
43,o,s,s-o,f,not close at all 
44,K1,n,n-K1,g,it's over the other side of the river 
45,K2,n,n-K2,g,is yours on this side of the river 
46,K1,n,n-K1,f,there are the the hills on the left-hand side my left-hand side which is your left-hand side 
45,K1,o,o-K1,f,uh-huh 
47,K1,n,n-K1,g,oh because we're looking at the same picture 
47,o,s,s-o,g,right 
48,A2,n,n-A2,g,it's like you're starting at s-- the sandy shore 
48,A1,s,s-A1,f,yeah 
49,A2,n,n-A2,g,going south then going along to the right and up and crossing the river 
49,A1,s,s-A1,f,mmhmm 
50,K1,n,n-K1,f,uh-huh across the bridge yeah 
51,A2,n,n-A2,g,at your bridge right you're going down to the fork of the 
51,o,s,s-o,g,river 
51,A1,s,s-A1,f,yes 
52,K2,n,n-K2,g,are you on the other side of the river from the the hills 
52,K1,s,s-K1,f,yes 
52,o,s,s-o,g,right 
53,K1,n,n-K1,f,same side as the woodlands 
53,o,s,s-o,g,right that's right 
54,A2,n,n-A2,g,so at the top of just before the fork in the river do a c"" to the the same side don't don't cross the river at that point ""
54,A1,s,s-A1,f,yes 
55,A2,n,n-A2,g,do the do a c"" so that it ""
54,o,o,o-o,f,don't cross the river 
55,A2,n,n-A2,g,it it's like a backwards c"" ""
54,o,o,o-o,f,right i've not crossed 
56,K2,n,n-K2,g,do you see what i mean 
55,o,o,o-o,f,backwards 
57,K1,n,n-K1,g,w-- round that way instead round that way 
57,o,s,s-o,f,like an e"" ""
57,ch,s,s-ch,f,no 
58,K1,n,n-K1,f,oh yeah like a backwards s-- 
59,A2,n,n-A2,g,well a back a back like do a backwards c"" there sorry ""
59,A1,s,s-A1,f,yeah i've got a backwards c"" ""
59,A1,s,s-A1,f,yeah 
60,A2,n,n-A2,g,and cross the river under the dead tree for the first or the second time if you don't count if you count the one at the top 
61,K2,n,n-K2,f,under the dead tree so 
61,K1,s,s-K1,g,just just south of the dead tree 
61,o,s,s-o,f,okay 
62,o,n,n-o,g,right 
62,A2,s,s-A2,g,now go dead south for about five centimetres straight down from the dead tree 
62,A1,s,s-A1,f,yeah 
63,A2,n,n-A2,g,and then five centimetres to the left bringing you to the lagoon 
63,A1,s,s-A1,f,yeah 
64,o,n,n-o,g,right 
64,A2,s,s-A2,g,follow the shore of the lagoon down to the tip of it at the bottom 
64,A1,s,s-A1,f,right 
65,o,n,n-o,g,right 
65,K2,s,s-K2,g,do you have a rock fall 
65,K1,s,s-K1,f,no 
66,K2,n,n-K2,g,do you have green bay 
66,K1,s,s-K1,f,yes 
67,o,n,n-o,g,right 
67,K2,s,s-K2,g,do you see the point of green bay the top point of green bay 
68,K2,n,n-K2,f,the most northerly point 
68,K1,s,s-K1,g,yes 
69,A2,n,n-A2,g,go move to there but make it a 
69,A1,s,s-A1,f,right 
70,K2,n,n-K2,f,on on the coast is that a jutted point 
70,K1,s,s-K1,g,yes 
71,o,n,n-o,g,right 
71,A2,s,s-A2,g,take the line from the base of the lagoon from the point of the lagoon right down to the n-- most northerly point of green bay 
71,A1,s,s-A1,f,right 
72,K2,n,n-K2,g,do you have a pirate ship and the finish cross 
72,K1,s,s-K1,f,pirate ship's right down the the the southern 
73,o,n,n-o,g,right 
73,A2,s,s-A2,g,now do a sort l"" shape bringing you down to the pirate ship from where you are ""
73,o,s,s-o,f,without going in the water 
73,o,s,s-o,g,going in the water 
73,o,s,s-o,f,going in the water 
73,o,s,s-o,g,going in the water 
74,o,n,n-o,g,right 
74,K1,s,s-K1,g,that's the finish 
