thread,neg,seg,comb,speaker,text
40,A2,n,n-A2,g,straight down 'til you get to that and then underneath it 
40,A1,s,s-A1,f,right 
41,K2,n,n-K2,g,do you have bandit territory 
41,o,s,s-o,f,okay 
41,K1,s,s-K1,f,yes got a bandit territory 
41,o,s,s-o,g,right 
42,o,n,n-o,g,along 
43,K2,n,n-K2,g,eh af-- are you underneath the cattle stockade 
43,K1,s,s-K1,f,yes 
44,o,n,n-o,g,ehm if you go sort up a sort a t-- a hill 
45,o,n,n-o,f,have you got a 
45,K2,s,s-K2,f,have you got a parched river bed 
45,K1,s,s-K1,g,no i don't 
46,K1,n,n-K1,f,right i better not avoid that 
46,o,s,s-o,g,yeah 
47,o,n,n-o,g,but if you just just stay p-- we're just at the 
48,K1,n,n-K1,g,we're nearly finished 
49,A2,n,n-A2,g,ehm if you go under cattle stockade and then loop up slightly and then down under bandit territory 
49,A1,s,s-A1,f,right 
49,o,s,s-o,f,okay 
50,A2,n,n-A2,g,and up t-- eh up from bandit territory to finish 
50,ch,s,s-ch,f,i don't have a finish marked on mine 
50,o,s,s-o,g,right 
51,A2,n,n-A2,g,okay ehm bandit territory go to your left of bandit territory and just above it put a cross for finish 
51,A1,s,s-A1,f,right 
51,o,s,s-o,f,right 
52,K1,n,n-K1,f,so just above bandit territory 
52,ch,s,s-ch,g,ehm about well i'd say about eh an inch and a half left from bandit territory just above it 
52,o,s,s-o,f,okay 
53,K1,n,n-K1,g,that's where the finish is 
