thread,neg,seg,comb,speaker,text
47,A2,n,n-A2,g,t-- down towards a cattle stockade 
47,A1,s,s-A1,f,yeah 
48,A2,n,n-A2,g,eh you pass the cattle stockade on the east hand side 
48,A1,s,s-A1,f,right 
49,A2,n,n-A2,g,then you go west right underneath it 
49,A1,s,s-A1,f,mmhmm 
50,o,n,n-o,g,and then 
50,K2,s,s-K2,g,have you got the bandit territory no 
50,K1,s,s-K1,f,so we're no it's in the left corner 
51,K1,n,n-K1,f,there's i've got parched river bed in me and a 
51,o,s,s-o,g,right 
52,A2,n,n-A2,g,well you go past the stockade then you go you hang a left to have to take it that to avoid the parched river stockade uh parched river on yours 
53,A2,n,n-A2,g,go underneath that then along the bottom 
52,o,o,o-o,f,so 
52,A1,s,s-A1,f,i'll m-- i'll miss the parched river bed 
53,A2,n,n-A2,g,and along the bottom 
54,A1,n,n-A1,f,underneath the bandit territory 
54,o,s,s-o,g,underneath bandit territory 
55,A2,n,n-A2,g,then north up to the finish 
55,o,s,s-o,f,up to this 
56,A2,n,n-A2,g,up to the wee cross 
55,A1,o,o-A1,f,start north 
57,K2,n,n-K2,f,mm avoiding the gallows i guess 
57,K1,s,s-K1,g,that your finish 
58,K1,n,n-K1,f,that's me finished 
58,ch,s,s-ch,g,wait a minute i think you've went to the wrong bit 
59,K2,n,n-K2,g,have you no got a wee cross a wee finishing mark beside your bandit territory 
59,K1,s,s-K1,f,no 
59,o,s,s-o,g,nope 
60,o,n,n-o,g,okey-dokey right 
60,o,s,s-o,g,we'll go over the map again 
60,A2,s,s-A2,g,right you comes down 
60,A1,s,s-A1,f,down 
61,A2,n,n-A2,g,past the diamond 
62,A2,n,n-A2,g,along 
62,A1,s,s-A1,f,along 
63,K2,n,n-K2,g,have you got the graveyard on yours 
63,K1,s,s-K1,f,no 
64,A2,n,n-A2,g,if you want to mark that in 
64,o,s,s-o,g,right 
64,o,s,s-o,g,right 
65,K1,n,n-K1,g,well there's a graveyard just before you go north again 
65,o,s,s-o,f,mmhmm 
66,o,n,n-o,f,mmhmm so there's a wee 
67,A2,n,n-A2,g,just draw a couple of headstones or something 
66,K1,o,o-K1,f,there's a wee graveyard there 
68,A2,n,n-A2,g,then you go up round the carved stones 
68,o,s,s-o,g,right 
68,A1,s,s-A1,f,up round the carved stones 
69,A2,n,n-A2,g,and down towards indian country 
69,A1,s,s-A1,f,down towards 
70,K2,n,n-K2,f,past the ravine 
70,K1,s,s-K1,g,right 
71,K1,n,n-K1,g,there's a great rock in the indian country and the gold 
71,ch,s,s-ch,f,well there's my great rock's further away it's away somewhere else 
71,o,s,s-o,g,yeah 
72,K1,n,n-K1,g,there's another there's another great rock 
72,o,s,s-o,f,oh i see 
72,o,s,s-o,g,mmhmm 
73,K1,n,n-K1,g,it's about the same bearing north as the indian country about midway between the indian country and the gold 
73,o,s,s-o,f,right 
74,o,n,n-o,f,that's another 
74,o,s,s-o,g,right 
74,K2,s,s-K2,f,another wee great rock here 
74,K1,s,s-K1,g,right you follow it round and you get to the trout farm 
75,A2,n,n-A2,g,right follow everything round you get to the trout farm right 
75,A1,s,s-A1,f,right 
76,K1,n,n-K1,f,i missed the totem pole 
76,o,s,s-o,g,right 
77,A2,n,n-A2,g,then just after you hang a right well go s-- 
77,A1,s,s-A1,f,south 
78,A2,n,n-A2,g,go south 
79,K1,n,n-K1,g,there's a fort cavalry fort 
80,K2,n,n-K2,f,just after the on which side of the line that i've just drawn down 
80,K1,s,s-K1,g,underneath the line 
81,K2,n,n-K2,f,underneath the trout farm 
81,K1,s,s-K1,g,underneath the trout farm slightly slightly east and underneath it 
82,o,n,n-o,f,between that and this 
82,K2,s,s-K2,f,and this stockade below it 
82,K1,s,s-K1,g,yeah 
82,o,s,s-o,f,so that's away 
82,o,s,s-o,g,stockade's directly below it 
83,A2,n,n-A2,g,then you go round past the cattle stockade 
83,o,s,s-o,g,right 
84,K1,n,n-K1,g,then you got your parched river bed 
84,o,s,s-o,f,you're in i've got my parched river which i've avoided 
85,K1,n,n-K1,g,and the bandit territory and your finishing point is pup prrr just just west and slightly above the bandit territory 
85,o,s,s-o,f,oh right so it's there 
86,o,n,n-o,f,just makes a slight 
87,K1,n,n-K1,g,so all that that you've got going up past the gallows in 
87,o,s,s-o,f,it is rubbish 
88,K1,n,n-K1,g,everything is just the tourist route 
88,o,s,s-o,g,right so 
