thread,neg,seg,comb,speaker,text
40,o,s,s-o,g,right 
40,ch,s,s-ch,g,no 
41,A2,n,n-A2,g,right just come back about the length of the lake 
41,A1,s,s-A1,f,uh-huh 
42,o,n,n-o,g,erm roman baths 
42,o,s,s-o,g,no 
43,K1,n,n-K1,g,you said you didn't have that 
43,o,s,s-o,f,don't have any roman baths 
44,o,n,n-o,g,antelopes 
45,o,n,n-o,f,i've got some round r-- 
44,o,o,o-o,f,yes 
44,K1,s,s-K1,f,i've got some antelopes right in the centre 
46,o,n,n-o,g,well 
46,K1,s,s-K1,g,on a-- this map the roman baths are there are at the top below the lake and then it's the antelope 
46,o,s,s-o,f,right okay 
47,K2,n,n-K2,f,so you want me to go between the antelopes and the position of the roman bath 
47,K1,s,s-K1,g,well it one is just below the other and it's come down to the way you'll be facing it'll be your left the roman baths and the antelopes will be to your left 
47,o,s,s-o,f,right okay then 
48,o,n,n-o,f,right 
48,K1,s,s-K1,f,so i've to go down to so that the antelopes are to my left 
49,K2,n,n-K2,f,and what about this lake 
50,K1,n,n-K1,f,i'm still i've still gone halfway back round the lake again 
50,o,s,s-o,g,erm 
50,o,s,s-o,g,right 
51,K2,n,n-K2,g,your lake is on the right top right 
51,K1,s,s-K1,f,okay 
52,o,n,n-o,g,right er 
52,A2,s,s-A2,g,and you're to walk erm that way round the lake to-- the roman baths were there 
52,A1,s,s-A1,f,okay 
53,o,n,n-o,g,erm 
54,A1,n,n-A1,f,i just score this bit out a minute 
55,o,n,n-o,f,right 
55,K2,s,s-K2,f,so sort underneath the lake then 
55,K1,s,s-K1,g,er right round and come back under it 
55,o,s,s-o,f,right round 
55,o,s,s-o,f,right that's that right okay okay 
56,o,n,n-o,g,right 
56,A2,s,s-A2,g,and straight down to the antelopes 
56,A1,s,s-A1,f,uh-huh 
57,A2,n,n-A2,g,erm and it goes round the bottom of the antelopes 
57,A1,s,s-A1,f,mmhmm 
58,A2,n,n-A2,g,on my map it's eh right to the go to the right 
58,A1,s,s-A1,f,mmhmm 
59,K1,n,n-K1,g,i think that's me at the finish 
60,K2,n,n-K2,g,just is there a site of the plane crash 
60,K1,s,s-K1,f,uh-huh i've got that i've got a site of plane crash 
61,K1,n,n-K1,g,well it's just below there 
61,o,s,s-o,f,just below that 
62,K2,n,n-K2,f,and that's it 
62,K1,s,s-K1,g,think so 
